Symbol,Yahoo Symbol,Company,Price,Trailing P/E,Forward P/E,Market Cap,Beta,Dividend Rate,Dividend Yield,Currency,Quote Type,Sector,Industry,Weight
KDP,KDP,Keurig Dr Pepper Inc.,29.09,21.548147,11.520382,39578677248.0,0.361,0.92,3.16,USD,EQUITY,Consumer Defensive,Beverages - Non-Alcoholic,0.0007899656301242
FIS,FIS,Fidelity National Information S,46.54,63.753426,6.759161,24055093248.0,0.914,1.68,3.61,USD,EQUITY,Technology,Information Technology Services,0.000788994587752
KMB,KMB,Kimberly-Clark Corporation,97.67,18.891682,12.91137,32420614144.0,0.296,5.12,5.24,USD,EQUITY,Consumer Defensive,Household & Personal Products,0.0007878959841485
NEM,NEM,Newmont Corporation,108.62,14.088198,9.582303,115957587968.0,0.475,1.04,0.96,USD,EQUITY,Basic Materials,Gold,0.0007840569142979
DFS,DFS,,,,,,,,,,NONE,Financial Services,Credit Services,0.0007821815210119
PCG,PCG,Pacific Gas & Electric Co.,16.45,12.751939,9.13128,36226596864.0,0.343,0.2,1.22,USD,EQUITY,Utilities,Utilities - Regulated Electric,0.0007821768047099
TEL,TEL,TE Connectivity plc,207.43,21.187946,16.432844,60547944448.0,1.259,2.91,1.4,USD,EQUITY,Technology,Electronic Components,0.0007732753741703
MPC,MPC,Marathon Petroleum Corporation,246.15,18.619514,11.979722,72490401792.0,0.577,3.91,1.59,USD,EQUITY,Energy,Oil & Gas Refining & Marketing,0.000771229088628
FAST,FAST,Fastenal Company,44.91,39.743362,32.90134,51558256640.0,0.837,0.92,2.05,USD,EQUITY,Industrials,Industrial Distribution,0.0007711655659351
AME,AME,"AMETEK, Inc.",230.48,34.86838,26.287815,52826710016.0,1.041,1.36,0.59,USD,EQUITY,Industrials,Specialty Industrial Machinery,0.0007630569162894
PEG,PEG,Public Service Enterprise Group,80.15,18.992893,17.072372,40007192576.0,0.598,2.68,3.34,USD,EQUITY,Utilities,Utilities - Regulated Electric,0.0007624521242466
PRU,PRU,"Prudential Financial, Inc.",98.62,9.871872,6.6987453,34319761408.0,0.94,5.45,5.53,USD,EQUITY,Financial Services,Insurance - Life,0.0007545419277473
KVUE,KVUE,Kenvue Inc.,17.43,22.934212,14.5376005,33464141824.0,0.57,0.83,4.76,USD,EQUITY,Consumer Defensive,Household & Personal Products,0.000750932925005
STZ,STZ,"Constellation Brands, Inc.",152.82,15.902186,12.260627,26319376384.0,0.432,4.12,2.7,USD,EQUITY,Consumer Defensive,Beverages - Brewers,0.000743662671737
GLW,GLW,Corning Incorporated,158.26,76.45411,39.306267,135954210816.0,1.053,1.12,0.71,USD,EQUITY,Technology,Electronic Components,0.0007287766223853
LHX,LHX,"L3Harris Technologies, Inc.",313.37,34.02497,22.99975,58379247616.0,0.746,5.0,1.6,USD,EQUITY,Industrials,Aerospace & Defense,0.0007287110363103
GRMN,GRMN,Garmin Ltd.,242.42,27.02564,23.933733,46752202752.0,0.968,4.2,1.73,USD,EQUITY,Technology,Scientific & Technical Instruments,0.000722012929432
BKR,BKR,Baker Hughes Company,69.12,22.083067,24.694622,68571791360.0,0.898,0.92,1.33,USD,EQUITY,Energy,Oil & Gas Equipment & Services,0.0007178098937109
CBRE,CBRE,CBRE Group Inc,141.81,32.376713,15.996597,41524318208.0,1.348,,,USD,EQUITY,Real Estate,Real Estate Services,0.000711109870835
CTVA,CTVA,"Corteva, Inc.",80.85,46.2,19.983587,54279172096.0,0.68,0.72,0.89,USD,EQUITY,Basic Materials,Agricultural Inputs,0.0007107557060296
HES,HES,,,,,,,,,,,Energy,Oil & Gas E&P,0.0007106126694322
CCI,CCI,Crown Castle Inc.,89.26,37.66245,30.174267,38950150144.0,0.964,4.25,4.76,USD,EQUITY,Real Estate,REIT - Specialty,0.0007088676376819
DAL,DAL,"Delta Air Lines, Inc.",68.98,10.070074,8.6329565,45319475200.0,1.306,0.75,1.09,USD,EQUITY,Industrials,Airlines,0.0007073620319518
CTSH,CTSH,Cognizant Technology Solutions ,52.43,11.373101,8.5198,24799389696.0,0.976,1.32,2.52,USD,EQUITY,Technology,Information Technology Services,0.0007067713151228
F,F,Ford Motor Company,11.88,,6.427667,47651655680.0,1.71,0.6,5.05,USD,EQUITY,Consumer Cyclical,Auto Manufacturers,0.0007064447112074
